name,band,ra,dec,raerr,decerr,flux,type,activity type
HPPSC070A_J082300.9-045605,blue,125.753895,-4.934749,0.000017,0.000016,741.422,b'G',
HPPSC070A_J031818.0-663635,blue,49.575345,-66.609624,0.000113,0.000045,12.255,b'G',
HPPSC070A_J044941.6+452722,blue,72.423534,45.45605,0.00008,0.000056,1941.849,b'G',
HPPSC070A_J131503.5+243708,blue,198.764732,24.618811,0.000005,0.000005,19672.703,b'G',
HPPSC070A_J085329.1-453637,blue,133.371641,-45.610284,0.00005,0.000035,3046.521,b'G',
HPPSC070A_J124536.0-021440,blue,191.400284,-2.244575,0.000219,0.000219,69.628,b'G',
HPPSC070A_J115352.4+112902,blue,178.468541,11.483961,0.000098,0.000096,31.194,b'G',
HPPSC070A_J040332.8-432400,blue,60.886672,-43.400065,0.000017,0.000012,808.082,b'G',
HPPSC070A_J064056.0-023833,blue,100.233601,-2.642439,0.000484,0.000484,211.288,b'G',
HPPSC070A_J044347.0+285820,blue,70.945852,28.972174,0.000024,0.000021,473.491,b'G',S1.0
HPPSC070A_J143253.1+015353,blue,218.221483,1.89809,0.000235,0.000235,18.298,b'G',
HPPSC070A_J124216.4+411633,blue,190.568608,41.275786,0.0004,0.0003,22.442,b'G',
HPPSC070A_J094704.5+112750,blue,146.76886,11.463757,0.000142,0.00014,39.57,b'G',
HPPSC070A_J134952.7+020446,blue,207.469976,2.079438,0.000086,0.000086,60.463,b'G',S1.8
HPPSC070A_J140124.5+541435,blue,210.352269,54.242968,0.000307,0.00018,23.864,b'G',
HPPSC070A_J000340.2-001649,blue,0.917483,-0.280287,0.00007,0.00007,125.871,b'G',
HPPSC070A_J223537.7+584304,blue,338.9073,58.717906,0.000083,0.000043,4098.894,b'G',
HPPSC070A_J140510.7+542856,blue,211.294811,54.482289,0.000362,0.00021,22.204,b'G',
HPPSC070A_J115816.3-795523,blue,179.568079,-79.922979,0.000801,0.00014,121.721,b'G',
HPPSC070A_J181640.7+220647,blue,274.169627,22.113161,0.000007,0.000006,5085.586,b'G',
HPPSC070A_J122141.5+043052,blue,185.42301,4.514489,0.000301,0.000301,22.562,b'G',
HPPSC070A_J225419.6+114657,blue,343.582061,11.782433,0.000013,0.000013,613.941,b'G',
HPPSC070A_J014346.7-155730,blue,25.944836,-15.958462,0.000035,0.000034,86.945,b'G',
HPPSC070A_J130157.6+280021,blue,195.490306,28.005806,0.000049,0.000043,153.497,b'G',
HPPSC070A_J125934.3+272851,blue,194.892941,27.480951,0.000146,0.00013,36.622,b'G',
HPPSC070A_J045031.0+454519,blue,72.629215,45.755378,0.000399,0.000278,191.449,b'G',
HPPSC070A_J155827.9+351411,blue,239.616392,35.236424,0.00025,0.000204,18.503,b'G',
HPPSC070A_J133543.4+134154,blue,203.931051,13.698263,0.000112,0.000109,28.675,b'G',
HPPSC070A_J140310.1+541255,blue,210.792389,54.215337,0.000347,0.000203,22.474,b'G',
