name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J140621.9+222346,blue,211.5914,22.396106,47.883,66.43,94.8,59.7,,,11.823,10.879,8.148,6.036,14.801,14.037,13.111,0.098
HPPSC070A_J112916.7-042408,blue,172.319924,-4.402183,538.972,563.069,439.614,197.6,80.5,,9.861,8.926,6.089,3.706,13.166,12.194,11.168,0.06196
HPPSC070A_J231856.7+001439,blue,349.73643,0.24411,1260.547,,2346.102,1205.2,560,207.8,8.242,7.341,4.963,3.356,12.003,11.187,10.155,0.029524
HPPSC070A_J171914.5+485850,blue,259.81061,48.980555,106.971,,,,,,10.976,10.356,7.507,5.078,12.863,11.935,11.502,0.024167
HPPSC070A_J102254.3+390933,blue,155.72626,39.159281,31.355,,64.908,,,,14.633,14.029,10.25,8.094,16.692,16.065,15.246,0.146451
HPPSC070A_J042340.7+040802,blue,65.919694,4.133923,508.857,,501.844,215.1,104.1,,10.911,9.66,6.582,3.971,15.407,14.191,12.87,0.045
HPPSC070A_J133439.5-232647,blue,203.664749,-23.446298,804.632,,1370.248,574.2,,,11.052,10.324,6.341,3.59,13.591,12.851,12.211,0.034307
HPPSC070A_J112147.1+114419,blue,170.446497,11.738515,394.805,375.337,290.176,,,,10.655,9.603,6.269,3.835,13.555,12.853,12.1,0.050201
HPPSC070A_J125850.8+523913,blue,194.71165,52.653517,83.503,88.379,,95.7,56.3,,12.331,11.489,7.618,4.849,14.67,14.069,13.58,0.055195
HPPSC070A_J151921.9+653439,blue,229.841641,65.577501,493.977,,561.93,258.9,118.4,,12.029,10.976,6.95,4.209,14.343,13.676,13.184,0.0444
HPPSC070A_J123906.2-161046,blue,189.775918,-16.179554,323.977,,552.658,289.6,,,11.086,10.293,7.092,4.711,13.863,13.098,12.361,0.036675
HPPSC070A_J043622.2-102233,blue,69.092661,-10.375955,2669.538,,2606.533,1101.5,,,9.543,8.397,5.102,2.711,13.202,12.126,11.004,0.03555
HPPSC070A_J115245.6+101624,blue,178.190074,10.273226,142.945,117.637,67.102,,,,12.527,11.285,7.401,4.6,14.91,14.303,13.729,0.069897
HPPSC070A_J022224.4+422138,blue,35.601838,42.360673,22.698,47.22,101.412,,,,14.399,13.07,10.235,7.707,,,,1.181
HPPSC070A_J130905.5+113804,blue,197.273237,11.634322,197.11,,,,,,10.491,9.528,6.856,4.614,13.243,12.535,12.177,0.025137
HPPSC070A_J131305.7-110743,blue,198.274145,-11.128561,95.439,115.189,115.858,60.6,,,11.166,10.002,6.739,4.453,14.022,13.355,12.548,0.034267
HPPSC070A_J010645.3+063801,blue,16.68907,6.633537,159.66,,,,,,11.957,11.032,7.163,4.532,14.426,13.716,13.217,0.041
HPPSC070A_J130413.0-053305,blue,196.054529,-5.551396,926.31,1022.139,908.536,558,308.9,,9.745,9.375,6.344,3.604,12.301,11.607,11.268,0.003696
HPPSC070A_J212439.3+505826,blue,321.163763,50.973935,231.414,,,,,,9.567,8.679,6.31,4.143,13.273,12.38,11.368,0.02
HPPSC070A_J200055.7-181028,blue,300.232374,-18.174334,892.687,,659.005,253.3,112.2,,9.284,8.116,5.163,2.904,12.869,11.659,10.484,0.037119
HPPSC070A_J123854.6-271828,blue,189.727619,-27.307881,463.504,,1020.324,606.1,323.7,149.7,10.094,9.011,5.97,3.779,13.091,12.154,11.332,0.025024
HPPSC070A_J121417.7+140312,blue,183.573915,14.053329,123.907,71.812,,,,,9.928,8.809,5.987,3.721,13.152,12.3,11.292,0.0809
HPPSC070A_J162839.1+393311,blue,247.163235,39.552975,79.877,139.356,138.743,66.9,,,,,,,13.694,12.867,12.678,0.027032
HPPSC070A_J064011.6-255343,blue,100.04858,-25.895409,1986.573,,1498.965,,,,9.669,8.921,5.745,2.956,12.71,11.702,10.913,0.02485
HPPSC070A_J052627.2-211712,blue,81.613517,-21.286761,121.346,,,,,,11.257,10.547,7.438,4.619,13.799,13.1,12.687,0.027756
HPPSC070A_J153638.4+543331,blue,234.16002,54.558655,60.235,63.234,92.351,,,,10.168,9.289,6.946,5.022,13.531,12.588,11.636,0.038934
HPPSC070A_J041821.4+380136,blue,64.589427,38.026744,281.208,,560.17,,,,9.897,8.996,6.628,4.472,14.269,13.03,11.937,0.0485
HPPSC070A_J022814.6+311841,blue,37.06089,31.31132,1446.897,,,,,,8.924,7.807,4.68,2.343,12.919,11.917,11.132,0.016652
