name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J081744.7+292047,blue,124.436249,29.346427,14.408,,,,,,16.183,15.724,11.191,8.746,,,,2.337,4.858
HPPSC070A_J101630.7+303514,blue,154.128253,30.587291,28.58,,95.124,,,,14.068,13.583,10.276,8.153,16.272,15.444,14.767,4.55,4.935
HPPSC070A_J084910.3+445333,blue,132.293269,44.892521,16.096,,38.033,,,,15.64,15.154,11.422,8.544,,,,3.734,4.975
HPPSC070A_J104022.3-462525,blue,160.093097,-46.423735,1172.898,,1336.049,561.7,214.2,,10.391,9.752,6.382,3.841,13.005,12.192,11.385,1.592,0.717
HPPSC070A_J080020.8+263650,blue,120.086867,26.61378,873.446,,1069.149,481.6,233.8,104.8,10.133,9.451,6.544,3.948,14.38,12.051,13.426,1.146,0.341
HPPSC070A_J091055.8-493303,blue,137.732746,-49.550959,8103.21,,10915.431,,,,8.637,7.527,4.16,1.391,13.766,13.044,11.113,1.144,1.651
HPPSC070A_J033150.4+315141,blue,52.960289,31.861331,166.688,108.231,,,,,12.318,11.186,7.998,5.076,15.627,14.782,13.879,0.692,0.463
HPPSC070A_J085639.1-473419,blue,134.163247,-47.572003,17435.569,,19958.975,,,,10.123,9.593,4.349,0.737,15.054,13.85,13.168,1.928,4.376
HPPSC070A_J110954.3-763112,blue,167.476599,-76.520102,146.874,204.422,,,,,11.566,10.287,7.574,4.977,15.049,13.797,13.136,0.314,0.003
HPPSC070A_J041933.0+525121,blue,64.887855,52.855853,571.874,,1361.59,,,,10.183,9.181,6.584,3.939,15.114,13.323,11.892,0.514,0.31
HPPSC070A_J100236.4-572704,blue,150.651865,-57.451129,991.217,,2252.41,,,,12.529,11.917,7.59,5.287,17.279,15.231,14.619,1.928,4.975
HPPSC070A_J131334.6-024827,blue,198.394522,-2.807606,41.995,,82.865,,,,13.864,12.909,9.237,6.82,,,,2.325,1.289
HPPSC070A_J130359.6+534730,blue,195.99839,53.791743,55.067,,,79.2,49.4,,11.586,10.898,8.42,6.475,14.462,13.638,13.038,4.779,0
HPPSC070A_J130213.9+051345,blue,195.558168,5.229234,19.295,,51.554,,,,14.385,13.91,10.366,8.16,,,,3.953,1.713
HPPSC070A_J235753.6-322843,blue,359.473415,-32.478507,32.337,,,,,,14.258,13.158,9.811,6.909,16.607,16.468,15.426,1.144,0.711
HPPSC070A_J084844.4+445116,blue,132.185319,44.854492,13.883,,30.137,,,,16.207,15.471,11.427,8.45,,,,2.846,4.95
HPPSC070A_J094353.0-784930,blue,145.971019,-78.825049,24.88,,51.448,40,,,17.394,16.153,10.325,7.373,,,,2.325,2.927
HPPSC070A_J055124.8+272934,blue,87.853651,27.492906,326.043,,1020.93,,,,10.039,8.821,6.245,3.768,13.986,12.376,11.391,0.106,0
HPPSC070A_J173853.9-681433,blue,264.724653,-68.242414,42.345,,106.842,,66.9,,17.76,17.086,10.417,7.463,,,,3.009,4.786
HPPSC070A_J042625.1+194921,blue,66.604596,19.822393,40.467,,,,,,17.905,16.611,10.469,7.358,,,,2.257,4.996
HPPSC070A_J022529.4+611654,blue,36.37256,61.281672,312.57,,,,,,12.615,10.612,7.809,4.594,17.254,15.971,14.414,0.686,1.538
HPPSC070A_J064023.3+095630,blue,100.097135,9.941672,257.042,,,,,,11.558,10.136,7.098,4.287,16.219,14.475,13.016,0.342,0.463
HPPSC070A_J160724.2-421143,blue,241.851067,-42.195393,150.96,,359.017,190.1,,,12.161,11.945,8.853,6.78,14.683,13.775,13.251,4.553,1.453
HPPSC070A_J091959.0+662848,blue,139.995941,66.479931,44.544,,,52.8,,,17.401,15.259,10.237,7.082,,,,2.257,2.927
